"Id","Holiday Name","Day","Type","Comments","Holiday Date","State","Country"
1407,Nuzul Al-Quran Day,Tuesday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2025-03-18,Penang,Malaysia
1408,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2025-03-31,Penang,Malaysia
1409,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,Second day of holiday for Eid Al-Fitr,2025-04-01,Penang,Malaysia
1410,Labour Day,Thursday,National Holiday,International Workers' Day,2025-05-01,Penang,Malaysia
1411,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2025-05-11,Penang,Malaysia
1412,Wesak Day,Monday,National Holiday,Birth of Buddha,2025-05-12,Penang,Malaysia
1413,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2025-06-02,Penang,Malaysia
1414,Hari Raya Haji,Saturday,National Holiday,Festival of Sacrifice,2025-06-07,Penang,Malaysia
1415,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2025-06-15,Penang,Malaysia
1416,Awal Muharram,Friday,National Holiday,Hijri New Year,2025-06-27,Penang,Malaysia
1417,George Town Heritage Day,Monday,Regional Holiday,Penang only,2025-07-07,Penang,Malaysia
1418,Birthday of the Governor,Saturday,Regional Holiday,Penang,2025-07-12,Penang,Malaysia
1419,National Day,Sunday,National Holiday,Independence Day,2025-08-31,Penang,Malaysia
1420,Maulidur Rasul,Friday,National Holiday,Birthday of Prophet Muhammad,2025-09-05,Penang,Malaysia
1421,Malaysia Day,Tuesday,National Holiday,Became a Federal Holiday in 2010,2025-09-16,Penang,Malaysia
1422,Deepavali,Monday,Regional Holiday,The festival of lights. Except Sarawak,2025-10-20,Penang,Malaysia
1423,Christmas Day,Thursday,National Holiday,"",2025-12-25,Penang,Malaysia
1424,New Year's Day,Wednesday,Regional Holiday,Most states,2025-01-01,Perak,Malaysia
1425,Chinese New Year,Wednesday,National Holiday,"1st day of 1st lunar month",2025-01-29,Perak,Malaysia
1426,Chinese New Year Holiday,Thursday,Regional Holiday,Except Kelantan,2025-01-30,Perak,Malaysia
1427,Thaipusam,Tuesday,Regional Holiday,Several states,2025-02-11,Perak,Malaysia
1428,Nuzul Al-Quran Day,Tuesday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2025-03-18,Perak,Malaysia
1429,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2025-03-31,Perak,Malaysia
1430,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,Second day of holiday for Eid Al-Fitr,2025-04-01,Perak,Malaysia
1431,Labour Day,Thursday,National Holiday,International Workers' Day,2025-05-01,Perak,Malaysia
1432,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2025-05-11,Perak,Malaysia
1433,Wesak Day,Monday,National Holiday,Birth of Buddha,2025-05-12,Perak,Malaysia
1434,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2025-06-02,Perak,Malaysia
1435,Hari Raya Haji,Saturday,National Holiday,Festival of Sacrifice,2025-06-07,Perak,Malaysia
1436,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2025-06-15,Perak,Malaysia
1437,Awal Muharram,Friday,National Holiday,Hijri New Year,2025-06-27,Perak,Malaysia
1438,National Day,Sunday,National Holiday,Independence Day,2025-08-31,Perak,Malaysia
1439,Maulidur Rasul,Friday,National Holiday,Birthday of Prophet Muhammad,2025-09-05,Perak,Malaysia
1440,Malaysia Day,Tuesday,National Holiday,Became a Federal Holiday in 2010,2025-09-16,Perak,Malaysia
1441,Deepavali,Monday,Regional Holiday,The festival of lights. Except Sarawak,2025-10-20,Perak,Malaysia
1442,Birthday of the Sultan of Perak,Friday,Regional Holiday,First Friday of November,2025-11-07,Perak,Malaysia
1443,Christmas Day,Thursday,National Holiday,"",2025-12-25,Perak,Malaysia
1444,New Year's Day,Wednesday,Regional Holiday,Most states,2025-01-01,Sabah,Malaysia
1445,Chinese New Year,Wednesday,National Holiday,"1st day of 1st lunar month",2025-01-29,Sabah,Malaysia
1446,Chinese New Year,Thursday,Regional Holiday,Except Kelantan,2025-01-30,Sabah,Malaysia
1447,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2025-03-31,Sabah,Malaysia
1448,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,Second day of holiday for Eid Al-Fitr,2025-04-01,Sabah,Malaysia
1449,Good Friday,Friday,Regional Holiday,Sabah and Sarawak,2025-04-18,Sabah,Malaysia
1450,Labour Day,Thursday,National Holiday,International Workers' Day,2025-05-01,Sabah,Malaysia
1451,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2025-05-11,Sabah,Malaysia
1452,Wesak Day,Monday,National Holiday,Birth of Buddha,2025-05-12,Sabah,Malaysia
1453,Pesta Kaamatan,Friday,Regional Holiday,Sabah and Labuan only,2025-05-30,Sabah,Malaysia
1454,Pesta Kaamatan,Saturday,Regional Holiday,Sabah and Labuan only,2025-05-31,Sabah,Malaysia
1455,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2025-06-02,Sabah,Malaysia
1456,Hari Raya Haji,Saturday,National Holiday,Festival of Sacrifice,2025-06-07,Sabah,Malaysia
1457,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2025-06-15,Sabah,Malaysia
1458,Awal Muharram,Friday,National Holiday,Hijri New Year,2025-06-27,Sabah,Malaysia
1459,National Day,Sunday,National Holiday,Independence Day,2025-08-31,Sabah,Malaysia
1460,Maulidur Rasul,Friday,National Holiday,Birthday of Prophet Muhammad,2025-09-05,Sabah,Malaysia
1461,Malaysia Day,Tuesday,National Holiday,Became a Federal Holiday in 2010,2025-09-16,Sabah,Malaysia
1462,Birthday of the Governor of Sabah,Saturday,Regional Holiday,Sabah only. 1st Saturday in October,2025-10-04,Sabah,Malaysia
1463,Deepavali,Monday,Regional Holiday,The festival of lights. Except Sarawak,2025-10-20,Sabah,Malaysia
1464,Christmas Eve,Wednesday,Regional Holiday,Sabah,2025-12-24,Sabah,Malaysia
1465,Christmas Day,Thursday,National Holiday,"",2025-12-25,Sabah,Malaysia
1466,New Year's Day,Wednesday,Regional Holiday,Most states,2025-01-01,Selangor,Malaysia
1467,Chinese New Year,Wednesday,National Holiday,"1st day of 1st lunar month",2025-01-29,Selangor,Malaysia
1468,Chinese New Year,Thursday,Regional Holiday,Except Kelantan,2025-01-30,Selangor,Malaysia
1469,Thaipusam,Tuesday,Regional Holiday,Several states,2025-02-11,Selangor,Malaysia
1470,Nuzul Al-Quran Day,Tuesday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2025-03-18,Selangor,Malaysia
1471,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2025-03-31,Selangor,Malaysia
1472,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,Second day of holiday for Eid Al-Fitr,2025-04-01,Selangor,Malaysia
1473,Labour Day,Thursday,National Holiday,International Workers' Day,2025-05-01,Selangor,Malaysia
1474,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2025-05-11,Selangor,Malaysia
1475,Wesak Day,Monday,National Holiday,Birth of Buddha,2025-05-12,Selangor,Malaysia
1476,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2025-06-02,Selangor,Malaysia
1477,Hari Raya Haji,Saturday,National Holiday,Festival of Sacrifice,2025-06-07,Selangor,Malaysia
1478,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2025-06-15,Selangor,Malaysia
1479,Awal Muharram,Friday,National Holiday,Hijri New Year,2025-06-27,Selangor,Malaysia
1480,National Day,Sunday,National Holiday,Independence Day,2025-08-31,Selangor,Malaysia
1481,Maulidur Rasul,Friday,National Holiday,Birthday of Prophet Muhammad,2025-09-05,Selangor,Malaysia
1482,Malaysia Day,Tuesday,National Holiday,Became a Federal Holiday in 2010,2025-09-16,Selangor,Malaysia
1483,Deepavali,Monday,Regional Holiday,The festival of lights. Except Sarawak,2025-10-20,Selangor,Malaysia
1484,Birthday of The Sultan of Selangor,Thursday,Regional Holiday,Selangor,2025-12-11,Selangor,Malaysia
1485,Christmas Day,Thursday,National Holiday,"",2025-12-25,Selangor,Malaysia
1486,New Year's Day,Wednesday,Regional Holiday,Most states,2025-01-01,Sarawak,Malaysia
1487,Chinese New Year,Wednesday,National Holiday,"1st day of 1st lunar month",2025-01-29,Sarawak,Malaysia
1488,Chinese New Year,Thursday,Regional Holiday,Except Kelantan,2025-01-30,Sarawak,Malaysia
1489,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2025-03-31,Sarawak,Malaysia
1490,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,Second day of holiday for Eid Al-Fitr,2025-04-01,Sarawak,Malaysia
1491,Good Friday,Friday,Regional Holiday,Sabah and Sarawak,2025-04-18,Sarawak,Malaysia
1492,Labour Day,Thursday,National Holiday,International Workers' Day,2025-05-01,Sarawak,Malaysia
1493,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2025-05-11,Sarawak,Malaysia
1494,Wesak Day,Monday,National Holiday,Birth of Buddha,2025-05-12,Sarawak,Malaysia
1495,Gawai Dayak,Sunday,Regional Holiday,Sarawak,2025-06-01,Sarawak,Malaysia
1496,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2025-06-02,Sarawak,Malaysia
1497,Gawai Dayak,Monday,Regional Holiday,Sarawak,2025-06-02,Sarawak,Malaysia
1498,Hari Raya Haji,Saturday,National Holiday,Festival of Sacrifice,2025-06-07,Sarawak,Malaysia
1499,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2025-06-15,Sarawak,Malaysia
1500,Awal Muharram,Friday,National Holiday,Hijri New Year,2025-06-27,Sarawak,Malaysia
1501,Sarawak Day,Tuesday,Regional Holiday,"",2025-07-22,Sarawak,Malaysia
1502,National Day,Sunday,National Holiday,Independence Day,2025-08-31,Sarawak,Malaysia
1503,Maulidur Rasul,Friday,National Holiday,Birthday of Prophet Muhammad,2025-09-05,Sarawak,Malaysia
1504,Malaysia Day,Tuesday,National Holiday,Became a Federal Holiday in 2010,2025-09-16,Sarawak,Malaysia
1505,Birthday of the Governor of Sarawak,Saturday,Regional Holiday,Sarawak only,2025-10-11,Sarawak,Malaysia
1506,Christmas Day,Thursday,National Holiday,"",2025-12-25,Sarawak,Malaysia
1507,Isra and Miraj,Monday,Regional Holiday,"Kedah, Perlis and Negeri Sembilan",2025-01-27,Terengganu,Malaysia
1508,Chinese New Year,Wednesday,National Holiday,"1st day of 1st lunar month",2025-01-29,Terengganu,Malaysia
1509,Chinese New Year Holiday,Thursday,Regional Holiday,Except Kelantan,2025-01-30,Terengganu,Malaysia
1510,Anniversary of Installation of the Sultan,Tuesday,Regional Holiday,Terengganu,2025-03-04,Terengganu,Malaysia
1511,Nuzul Al-Quran Day,Tuesday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2025-03-18,Terengganu,Malaysia
1512,Hari Raya Aidilfitri,Monday,National Holiday,End of Ramadan,2025-03-31,Terengganu,Malaysia
1513,Hari Raya Aidilfitri Holiday,Tuesday,National Holiday,Second day of holiday for Eid Al-Fitr,2025-04-01,Terengganu,Malaysia
1514,Birthday of the Sultan of Terengganu,Saturday,Regional Holiday,Terengganu only. Always celebrated on 26 April,2025-04-26,Terengganu,Malaysia
1515,Labour Day,Thursday,National Holiday,International Workers' Day,2025-05-01,Terengganu,Malaysia
1516,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2025-05-11,Terengganu,Malaysia
1517,Wesak Day,Monday,National Holiday,Birth of Buddha,2025-05-12,Terengganu,Malaysia
1518,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2025-06-02,Terengganu,Malaysia
1519,Arafat (Haj) Day,Friday,Regional Holiday,"Kelantan, Terengganu",2025-06-06,Terengganu,Malaysia
1520,Hari Raya Haji,Saturday,National Holiday,Festival of Sacrifice,2025-06-07,Terengganu,Malaysia
1521,Hari Raya Haji Holiday,Sunday,Regional Holiday,Some states,2025-06-08,Terengganu,Malaysia
1522,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2025-06-15,Terengganu,Malaysia
1523,Awal Muharram,Friday,National Holiday,Hijri New Year,2025-06-27,Terengganu,Malaysia
1524,National Day,Sunday,National Holiday,Independence Day,2025-08-31,Terengganu,Malaysia
1525,Maulidur Rasul,Friday,National Holiday,Birthday of Prophet Muhammad,2025-09-05,Terengganu,Malaysia
1526,Malaysia Day,Tuesday,National Holiday,Became a Federal Holiday in 2010,2025-09-16,Terengganu,Malaysia
1527,Deepavali,Monday,Regional Holiday,The festival of lights. Except Sarawak,2025-10-20,Terengganu,Malaysia
1528,Christmas Day,Thursday,National Holiday,"",2025-12-25,Terengganu,Malaysia
1529,Thaipusam,Sunday,Regional Holiday,Several states,2026-02-01,Johor,Malaysia
1530,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2026-02-17,Johor,Malaysia
1531,Chinese New Year Holiday,Wednesday,Regional Holiday,"2nd day of 1st lunar Except Terengganu",2026-02-18,Johor,Malaysia
1532,Beginning of Ramadan,Thursday,Regional Holiday,"Johor, Kedah and Johor, Kedah, Malacca only",2026-02-19,Johor,Malaysia
1533,Hari Raya Aidilfitri,Friday,National Holiday,End of Ramadan,2026-03-20,Johor,Malaysia
1534,Hari Raya Aidilfitri Holiday,Saturday,National Holiday,Second day of holiday for Eid Al-Fitr,2026-03-21,Johor,Malaysia
1535,Birthday of the Sultan of Johor,Monday,Regional Holiday,Johor only,2026-03-23,Johor,Malaysia
1536,Labour Day,Friday,National Holiday,International Workers' Day,2026-05-01,Johor,Malaysia
1537,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2026-05-10,Johor,Malaysia
1538,Hari Raya Haji,Wednesday,National Holiday,Festival of Sacrifice,2026-05-27,Johor,Malaysia
1539,Wesak Day,Sunday,National Holiday,Birth of Buddha,2026-05-31,Johor,Malaysia
1540,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2026-06-01,Johor,Malaysia
1541,Awal Muharram,Tuesday,National Holiday,Hijri New Year,2026-06-16,Johor,Malaysia
1542,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2026-06-21,Johor,Malaysia
1543,The Sultan of Johor Hol,Friday,Regional Holiday,Johor only,2026-07-31,Johor,Malaysia
1544,Maulidur Rasul,Tuesday,National Holiday,Birthday of Prophet Muhammad,2026-08-25,Johor,Malaysia
1545,National Day,Monday,National Holiday,Independence Day,2026-08-31,Johor,Malaysia
1546,Malaysia Day,Wednesday,National Holiday,Became a Federal Holiday in 2010,2026-09-16,Johor,Malaysia
1547,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2026-11-08,Johor,Malaysia
1548,Christmas Day,Friday,National Holiday,"",2026-12-25,Johor,Malaysia
1549,Isra and Miraj,Friday,Regional Holiday,"Kedah, Perlis and Negeri Sembilan",2026-01-16,Kedah,Malaysia
1550,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2026-02-17,Kedah,Malaysia
1551,Chinese New Year Holiday,Wednesday,Regional Holiday,"2nd day of 1st lunar Except Terengganu",2026-02-18,Kedah,Malaysia
1552,Beginning of Ramadan,Thursday,Regional Holiday,"Johor, Kedah and Johor, Kedah, Malacca only",2026-02-19,Kedah,Malaysia
1553,Hari Raya Aidilfitri,Friday,National Holiday,End of Ramadan,2026-03-20,Kedah,Malaysia
1554,Hari Raya Aidilfitri Holiday,Saturday,National Holiday,Second day of holiday for Eid Al-Fitr,2026-03-21,Kedah,Malaysia
1555,Labour Day,Friday,National Holiday,International Workers' Day,2026-05-01,Kedah,Malaysia
1556,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2026-05-10,Kedah,Malaysia
1557,Hari Raya Haji,Wednesday,National Holiday,Festival of Sacrifice,2026-05-27,Kedah,Malaysia
1558,Hari Raya Haji Holiday,Thursday,Regional Holiday,Some states,2026-05-28,Kedah,Malaysia
1559,Wesak Day,Sunday,National Holiday,Birth of Buddha,2026-05-31,Kedah,Malaysia
1560,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2026-06-01,Kedah,Malaysia
1561,Birthday of the Sultan of Kedah,Monday,Regional Holiday,Kedah only,2026-06-15,Kedah,Malaysia
1562,Awal Muharram,Tuesday,National Holiday,Hijri New Year,2026-06-16,Kedah,Malaysia
1563,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2026-06-21,Kedah,Malaysia
1564,Maulidur Rasul,Tuesday,National Holiday,Birthday of Prophet Muhammad,2026-08-25,Kedah,Malaysia
1565,National Day,Monday,National Holiday,Independence Day,2026-08-31,Kedah,Malaysia
1566,Malaysia Day,Wednesday,National Holiday,Became a Federal Holiday in 2010,2026-09-16,Kedah,Malaysia
1567,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2026-11-08,Kedah,Malaysia
1568,Christmas Day,Friday,National Holiday,"",2026-12-25,Kedah,Malaysia
1569,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2026-02-17,Kelantan,Malaysia
1570,Chinese New Year Holiday,Wednesday,Regional Holiday,"2nd day of 1st lunar Except Terengganu",2026-02-18,Kelantan,Malaysia
1571,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2026-03-07,Kelantan,Malaysia
1572,Hari Raya Aidilfitri,Friday,National Holiday,End of Ramadan,2026-03-20,Kelantan,Malaysia
1573,Hari Raya Aidilfitri Holiday,Saturday,National Holiday,Second day of holiday for Eid Al-Fitr,2026-03-21,Kelantan,Malaysia
1574,Labour Day,Friday,National Holiday,International Workers' Day,2026-05-01,Kelantan,Malaysia
1575,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2026-05-10,Kelantan,Malaysia
1576,Hari Raya Haji,Wednesday,National Holiday,Festival of Sacrifice,2026-05-27,Kelantan,Malaysia
1577,Hari Raya Haji Holiday,Thursday,Regional Holiday,Some states,2026-05-28,Kelantan,Malaysia
1578,Wesak Day,Sunday,National Holiday,Birth of Buddha,2026-05-31,Kelantan,Malaysia
1579,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2026-06-01,Kelantan,Malaysia
1580,Awal Muharram,Tuesday,National Holiday,Hijri New Year,2026-06-16,Kelantan,Malaysia
1581,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2026-06-21,Kelantan,Malaysia
1582,Maulidur Rasul,Tuesday,National Holiday,Birthday of Prophet Muhammad,2026-08-25,Kelantan,Malaysia
1583,National Day,Monday,National Holiday,Independence Day,2026-08-31,Kelantan,Malaysia
1584,Malaysia Day,Wednesday,National Holiday,Became a Federal Holiday in 2010,2026-09-16,Kelantan,Malaysia
1585,Birthday of the Sultan of Kelantan,Tuesday,Regional Holiday,Kelantan only,2026-09-29,Kelantan,Malaysia
1586,Birthday of the Sultan of Kelantan Holiday,Wednesday,Regional Holiday,Kelantan only. Second day,2026-09-30,Kelantan,Malaysia
1587,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2026-11-08,Kelantan,Malaysia
1588,Christmas Day,Friday,National Holiday,"",2026-12-25,Kelantan,Malaysia
1589,New Year's Day,Thursday,Regional Holiday,Most states,2026-01-01,Kuala Lumpur,Malaysia
1590,Thaipusam,Sunday,Regional Holiday,Several states,2026-02-01,Kuala Lumpur,Malaysia
1591,Federal Territory Day,Sunday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2026-02-01,Kuala Lumpur,Malaysia
1592,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2026-02-17,Kuala Lumpur,Malaysia
1593,Chinese New Year Holiday,Wednesday,Regional Holiday,"2nd day of 1st lunar Except Terengganu",2026-02-18,Kuala Lumpur,Malaysia
1594,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2026-03-07,Kuala Lumpur,Malaysia
1595,Hari Raya Aidilfitri,Friday,National Holiday,End of Ramadan,2026-03-20,Kuala Lumpur,Malaysia
1596,Hari Raya Aidilfitri Holiday,Saturday,National Holiday,Second day of holiday for Eid Al-Fitr,2026-03-21,Kuala Lumpur,Malaysia
1597,Labour Day,Friday,National Holiday,International Workers' Day,2026-05-01,Kuala Lumpur,Malaysia
1598,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2026-05-10,Kuala Lumpur,Malaysia
1599,Hari Raya Haji,Wednesday,National Holiday,Festival of Sacrifice,2026-05-27,Kuala Lumpur,Malaysia
1600,Wesak Day,Sunday,National Holiday,Birth of Buddha,2026-05-31,Kuala Lumpur,Malaysia
1601,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2026-06-01,Kuala Lumpur,Malaysia
1602,Awal Muharram,Tuesday,National Holiday,Hijri New Year,2026-06-16,Kuala Lumpur,Malaysia
1603,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2026-06-21,Kuala Lumpur,Malaysia
1604,Maulidur Rasul,Tuesday,National Holiday,Birthday of Prophet Muhammad,2026-08-25,Kuala Lumpur,Malaysia
1605,National Day,Monday,National Holiday,Independence Day,2026-08-31,Kuala Lumpur,Malaysia
1606,Malaysia Day,Wednesday,National Holiday,Became a Federal Holiday in 2010,2026-09-16,Kuala Lumpur,Malaysia
1607,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2026-11-08,Kuala Lumpur,Malaysia
1608,Christmas Day,Friday,National Holiday,"",2026-12-25,Kuala Lumpur,Malaysia
1609,New Year's Day,Thursday,Regional Holiday,Most states,2026-01-01,Labuan,Malaysia
1610,Federal Territory Day,Sunday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2026-02-01,Labuan,Malaysia
1611,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2026-02-17,Labuan,Malaysia
1612,Chinese New Year Holiday,Wednesday,Regional Holiday,"2nd day of 1st lunar Except Terengganu",2026-02-18,Labuan,Malaysia
1613,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2026-03-07,Labuan,Malaysia
1614,Hari Raya Aidilfitri,Friday,National Holiday,End of Ramadan,2026-03-20,Labuan,Malaysia
1615,Hari Raya Aidilfitri Holiday,Saturday,National Holiday,Second day of holiday for Eid Al-Fitr,2026-03-21,Labuan,Malaysia
1616,Labour Day,Friday,National Holiday,International Workers' Day,2026-05-01,Labuan,Malaysia
1617,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2026-05-10,Labuan,Malaysia
1618,Hari Raya Haji,Wednesday,National Holiday,Festival of Sacrifice,2026-05-27,Labuan,Malaysia
1619,Pesta Kaamatan,Saturday,Regional Holiday,Sabah and Labuan only,2026-05-30,Labuan,Malaysia
1620,Wesak Day,Sunday,National Holiday,Birth of Buddha,2026-05-31,Labuan,Malaysia
1621,Pesta Kaamatan,Sunday,Regional Holiday,Sabah and Labuan only,2026-05-31,Labuan,Malaysia
1622,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2026-06-01,Labuan,Malaysia
1623,Awal Muharram,Tuesday,National Holiday,Hijri New Year,2026-06-16,Labuan,Malaysia
1624,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2026-06-21,Labuan,Malaysia
1625,Maulidur Rasul,Tuesday,National Holiday,Birthday of Prophet Muhammad,2026-08-25,Labuan,Malaysia
1626,National Day,Monday,National Holiday,Independence Day,2026-08-31,Labuan,Malaysia
1627,Malaysia Day,Wednesday,National Holiday,Became a Federal Holiday in 2010,2026-09-16,Labuan,Malaysia
1628,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2026-11-08,Labuan,Malaysia
1629,Christmas Day,Friday,National Holiday,"",2026-12-25,Labuan,Malaysia
1630,New Year's Day,Thursday,Regional Holiday,Most states,2026-01-01,Melaka,Malaysia
1631,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2026-02-17,Melaka,Malaysia
1632,Chinese New Year Holiday,Wednesday,Regional Holiday,"2nd day of 1st lunar Except Terengganu",2026-02-18,Melaka,Malaysia
1633,Beginning of Ramadan,Thursday,Regional Holiday,"Johor, Kedah and Johor, Kedah, Malacca only",2026-02-19,Melaka,Malaysia
1634,Malaysian Declaration of Independence Day,Friday,Regional Holiday,Melaka,2026-02-20,Melaka,Malaysia
1635,Hari Raya Aidilfitri,Friday,National Holiday,End of Ramadan,2026-03-20,Melaka,Malaysia
1636,Hari Raya Aidilfitri Holiday,Saturday,National Holiday,Second day of holiday for Eid Al-Fitr,2026-03-21,Melaka,Malaysia
1637,Declaration of Malacca as a Historical City,Wednesday,Regional Holiday,Malacca,2026-04-15,Melaka,Malaysia
1638,Labour Day,Friday,National Holiday,International Workers' Day,2026-05-01,Melaka,Malaysia
1639,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2026-05-10,Melaka,Malaysia
1640,Hari Raya Haji,Wednesday,National Holiday,Festival of Sacrifice,2026-05-27,Melaka,Malaysia
1641,Wesak Day,Sunday,National Holiday,Birth of Buddha,2026-05-31,Melaka,Malaysia
1642,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2026-06-01,Melaka,Malaysia
1643,Awal Muharram,Tuesday,National Holiday,Hijri New Year,2026-06-16,Melaka,Malaysia
1644,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2026-06-21,Melaka,Malaysia
1645,Melaka Governor's Birthday,Monday,Regional Holiday,Melaka,2026-08-24,Melaka,Malaysia
1646,Maulidur Rasul,Tuesday,National Holiday,Birthday of Prophet Muhammad,2026-08-25,Melaka,Malaysia
1647,National Day,Monday,National Holiday,Independence Day,2026-08-31,Melaka,Malaysia
1648,Malaysia Day,Wednesday,National Holiday,Became a Federal Holiday in 2010,2026-09-16,Melaka,Malaysia
1649,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2026-11-08,Melaka,Malaysia
1650,Christmas Day,Friday,National Holiday,"",2026-12-25,Melaka,Malaysia
1651,New Year's Day,Thursday,Regional Holiday,Most states,2026-01-01,Negeri Sembilan,Malaysia
1652,Birthday of the Sultan of Negeri Sembilan,Wednesday,Regional Holiday,Negeri Sembilan only,2026-01-14,Negeri Sembilan,Malaysia
1653,Isra and Miraj,Friday,Regional Holiday,"Kedah, Perlis and Negeri Sembilan",2026-01-16,Negeri Sembilan,Malaysia
1654,Thaipusam,Sunday,Regional Holiday,Several states,2026-02-01,Negeri Sembilan,Malaysia
1655,Chinese New Year,Tuesday,National Holiday,"1st day of 1st lunar month",2026-02-17,Negeri Sembilan,Malaysia
1656,Chinese New Year Holiday,Wednesday,Regional Holiday,"2nd day of 1st lunar Except Terengganu",2026-02-18,Negeri Sembilan,Malaysia
1657,Hari Raya Aidilfitri,Friday,National Holiday,End of Ramadan,2026-03-20,Negeri Sembilan,Malaysia
1658,Hari Raya Aidilfitri Holiday,Saturday,National Holiday,Second day of holiday for Eid Al-Fitr,2026-03-21,Negeri Sembilan,Malaysia
